AREA,LAT,LON,iso_year,iso_week,crime_count
1,33.95285696816603,-117.92132921749864,2020,1,209
1,33.95285696816603,-117.92132921749864,2020,2,274
1,33.95285696816603,-117.92132921749864,2020,3,262
1,33.95285696816603,-117.92132921749864,2020,4,271
1,33.95285696816603,-117.92132921749864,2020,5,287
1,33.95285696816603,-117.92132921749864,2020,6,245
1,33.95285696816603,-117.92132921749864,2020,7,294
1,33.95285696816603,-117.92132921749864,2020,8,252
1,33.95285696816603,-117.92132921749864,2020,9,292
1,33.95285696816603,-117.92132921749864,2020,10,286
1,33.95285696816603,-117.92132921749864,2020,11,224
1,33.95285696816603,-117.92132921749864,2020,12,190
1,33.95285696816603,-117.92132921749864,2020,13,169
1,33.95285696816603,-117.92132921749864,2020,14,194
1,33.95285696816603,-117.92132921749864,2020,15,160
1,33.95285696816603,-117.92132921749864,2020,16,199
1,33.95285696816603,-117.92132921749864,2020,17,196
1,33.95285696816603,-117.92132921749864,2020,18,180
1,33.95285696816603,-117.92132921749864,2020,19,176
1,33.95285696816603,-117.92132921749864,2020,20,181
1,33.95285696816603,-117.92132921749864,2020,21,173
1,33.95285696816603,-117.92132921749864,2020,22,477
1,33.95285696816603,-117.92132921749864,2020,23,180
1,33.95285696816603,-117.92132921749864,2020,24,184
1,33.95285696816603,-117.92132921749864,2020,25,215
1,33.95285696816603,-117.92132921749864,2020,26,208
1,33.95285696816603,-117.92132921749864,2020,27,208
1,33.95285696816603,-117.92132921749864,2020,28,203
1,33.95285696816603,-117.92132921749864,2020,29,206
1,33.95285696816603,-117.92132921749864,2020,30,205
1,33.95285696816603,-117.92132921749864,2020,31,218
1,33.95285696816603,-117.92132921749864,2020,32,255
1,33.95285696816603,-117.92132921749864,2020,33,222
1,33.95285696816603,-117.92132921749864,2020,34,225
1,33.95285696816603,-117.92132921749864,2020,35,238
1,33.95285696816603,-117.92132921749864,2020,36,207
1,33.95285696816603,-117.92132921749864,2020,37,232
1,33.95285696816603,-117.92132921749864,2020,38,219
1,33.95285696816603,-117.92132921749864,2020,39,211
1,33.95285696816603,-117.92132921749864,2020,40,194
1,33.95285696816603,-117.92132921749864,2020,41,198
1,33.95285696816603,-117.92132921749864,2020,42,211
1,33.95285696816603,-117.92132921749864,2020,43,216
1,33.95285696816603,-117.92132921749864,2020,44,258
1,33.95285696816603,-117.92132921749864,2020,45,217
1,33.95285696816603,-117.92132921749864,2020,46,209
1,33.95285696816603,-117.92132921749864,2020,47,227
1,33.95285696816603,-117.92132921749864,2020,48,195
1,33.95285696816603,-117.92132921749864,2020,49,205
1,33.95285696816603,-117.92132921749864,2020,50,185
1,33.95285696816603,-117.92132921749864,2020,51,193
1,33.95285696816603,-117.92132921749864,2020,52,173
1,33.95285696816603,-117.92132921749864,2020,53,183
1,33.95285696816603,-117.92132921749864,2021,1,200
